Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CINF,,,,,,,,,Financial Services,
HAL,,,,,,,,,Energy,
ZM,,,,,,,,,Technology,
TOST,,,,,,,,,Technology,
SSNC,,,,,,,,,Technology,
CMS,,,,,,,,,Utilities,
NTRS,,,,,,,,,Financial Services,
ESS,,,,,,,,,Real Estate,
RF,,,,,,,,,Financial Services,
LII,,,,,,,,,Industrials,
NRG,,,,,,,,,Utilities,
NVR,,,,,,,,,Consumer Cyclical,
UI,,,,,,,,,Technology,
BIIB,,,,,,,,,Healthcare,
NTRA,,,,,,,,,Healthcare,
TPG,,,,,,,,,Financial Services,
MAA,,,,,,,,,Real Estate,
CFG,,,,,,,,,Financial Services,
DGX,,,,,,,,,Healthcare,
NI,,,,,,,,,Utilities,
KEY,,,,,,,,,Financial Services,
PKG,,,,,,,,,Consumer Cyclical,
PODD,,,,,,,,,Healthcare,
EME,,,,,,,,,Industrials,
Z,,,,,,,,,Communication Services,
TWLO,,,,,,,,,Technology,
L,,,,,,,,,Financial Services,
TRU,,,,,,,,,Financial Services,
SNA,,,,,,,,,Industrials,
FNF,,,,,,,,,Financial Services,
TPR,,,,,,,,,Consumer Cyclical,
UDR,,,,,,,,,Real Estate,
EQH,,,,,,,,,Financial Services,
FFIV,,,,,,,,,Technology,
GWRE,,,,,,,,,Technology,
DOCU,,,,,,,,,Technology,
AZPN,,,,,,,,,Technology,
LNT,,,,,,,,,Utilities,
USFD,,,,,,,,,Consumer Defensive,
DG,,,,,,,,,Consumer Defensive,
ZBRA,,,,,,,,,Technology,
SOFI,,,,,,,,,Financial Services,
EVRG,,,,,,,,,Utilities,
ARCC,,,,,,,,,Financial Services,
DLTR,,,,,,,,,Consumer Defensive,
LINE,,,,,,,,,Real Estate,
CHWY,,,,,,,,,Consumer Cyclical,
CASY,,,,,,,,,Consumer Cyclical,
KIM,,,,,,,,,Real Estate,
SN,,,,,,,,,Consumer Cyclical,
UNM,,,,,,,,,Financial Services,
SFM,,,,,,,,,Consumer Defensive,
UTHR,,,,,,,,,Healthcare,
DOC,,,,,,,,,Real Estate,
PAA,,,,,,,,,Energy,
REG,,,,,,,,,Real Estate,
GLPI,,,,,,,,,Real Estate,
DUOL,,,,,,,,,Technology,
JEF,,,,,,,,,Financial Services,
BJ,,,,,,,,,Consumer Defensive,
CPT,,,,,,,,,Real Estate,
DOCS,,,,,,,,,Healthcare,
FTAI,,,,,,,,,Industrials,
EWBC,,,,,,,,,Financial Services,
FIX,,,,,,,,,Industrials,
PPC,,,,,,,,,Consumer Defensive,
JLL,,,,,,,,,Real Estate,
PRMB,,,,,,,,,Consumer Defensive,
NLY,,,,,,,,,Real Estate,
BXP,,,,,,,,,Real Estate,
COKE,,,,,,,,,Consumer Defensive,
TKO,,,,,,,,,Communication Services,
HLI,,,,,,,,,Financial Services,
CW,,,,,,,,,Industrials,
RBRK,,,,,,,,,Technology,
CHRW,,,,,,,,,Industrials,
CLH,,,,,,,,,Industrials,
CIEN,,,,,,,,,Technology,
FHN,,,,,,,,,Financial Services,
TOL,,,,,,,,,Consumer Cyclical,
GMED,,,,,,,,,Healthcare,
PNW,,,,,,,,,Utilities,
SF,,,,,,,,,Financial Services,
CAVA,,,,,,,,,Consumer Cyclical,
EXEL,,,,,,,,,Healthcare,
KVYO,,,,,,,,,Technology,
OHI,,,,,,,,,Real Estate,
AIZ,,,,,,,,,Financial Services,
MTZ,,,,,,,,,Industrials,
CRS,,,,,,,,,Industrials,
SSB,,,,,,,,,Financial Services,
SEIC,,,,,,,,,Financial Services,
VNOM,,,,,,,,,Energy,
EHC,,,,,,,,,Healthcare,
ARMK,,,,,,,,,Industrials,
ORI,,,,,,,,,Financial Services,
DTM,,,,,,,,,Energy,
VFC,,,,,,,,,Consumer Cyclical,
RGLD,,,,,,,,,Basic Materials,
WBS,,,,,,,,,Financial Services,
AIT,,,,,,,,,Industrials,
WAL,,,,,,,,,Financial Services,
TLN,,,,,,,,,Utilities,
HESM,,,,,,,,,Energy,
EVR,,,,,,,,,Financial Services,
BRBR,,,,,,,,,Consumer Defensive,
CUBE,,,,,,,,,Real Estate,
CR,,,,,,,,,Industrials,
OGE,,,,,,,,,Utilities,
CRDO,,,,,,,,,Technology,
RKLB,,,,,,,,,Industrials,
FRT,,,,,,,,,Real Estate,
MLI,,,,,,,,,Industrials,
LAD,,,,,,,,,Consumer Cyclical,
FYBR,,,,,,,,,Communication Services,
HLNE,,,,,,,,,Financial Services,
ALK,,,,,,,,,Industrials,
KD,,,,,,,,,Technology,
PNFP,,,,,,,,,Financial Services,
CFR,,,,,,,,,Financial Services,
VNO,,,,,,,,,Real Estate,
CBSH,,,,,,,,,Financial Services,
ALSN,,,,,,,,,Consumer Cyclical,
MTSI,,,,,,,,,Technology,
BRX,,,,,,,,,Real Estate,
CMA,,,,,,,,,Financial Services,
WH,,,,,,,,,Consumer Cyclical,
INGR,,,,,,,,,Consumer Defensive,
BERY,,,,,,,,,Consumer Cyclical,
WTFC,,,,,,,,,Financial Services,
DRS,,,,,,,,,Industrials,
UMBF,,,,,,,,,Financial Services,
ZION,,,,,,,,,Financial Services,
ADC,,,,,,,,,Real Estate,
EXLS,,,,,,,,,Technology,
PLNT,,,,,,,,,Consumer Cyclical,
CWAN,,,,,,,,,Technology,
ONB,,,,,,,,,Financial Services,
CACI,,,,,,,,,Technology,
CVLT,,,,,,,,,Technology,
WAY,,,,,,,,,Healthcare,
EAT,,,,,,,,,Consumer Cyclical,
PB,,,,,,,,,Financial Services,
SNV,,,,,,,,,Financial Services,
FLS,,,,,,,,,Industrials,
STEP,,,,,,,,,Financial Services,
COOP,,,,,,,,,Financial Services,
BOKF,,,,,,,,,Financial Services,
VMI,,,,,,,,,Industrials,
LPX,,,,,,,,,Industrials,
R,,,,,,,,,Industrials,
CHRD,,,,,,,,,Energy,
NFG,,,,,,,,,Energy,
PEGA,,,,,,,,,Technology,
LLYVA,,,,,,,,,Communication Services,
AWI,,,,,,,,,Industrials,
JXN,,,,,,,,,Financial Services,
DINO,,,,,,,,,Energy,
FSK,,,,,,,,,Financial Services,
CORT,,,,,,,,,Healthcare,
IDA,,,,,,,,,Utilities,
SLM,,,,,,,,,Financial Services,
PJT,,,,,,,,,Financial Services,
UPST,,,,,,,,,Financial Services,
EPRT,,,,,,,,,Real Estate,
THG,,,,,,,,,Financial Services,
GPI,,,,,,,,,Consumer Cyclical,
HR,,,,,,,,,Real Estate,
CADE,,,,,,,,,Financial Services,
ACIW,,,,,,,,,Technology,
MMSI,,,,,,,,,Healthcare,
MTG,,,,,,,,,Financial Services,
LRN,,,,,,,,,Consumer Defensive,
HOMB,,,,,,,,,Financial Services,
GATX,,,,,,,,,Industrials,
VIRT,,,,,,,,,Financial Services,
CRVL,,,,,,,,,Financial Services,
COLB,,,,,,,,,Financial Services,
USM,,,,,,,,,Communication Services,
CE,,,,,,,,,Basic Materials,
GBCI,,,,,,,,,Financial Services,
VLY,,,,,,,,,Financial Services,
IDCC,,,,,,,,,Technology,
FFIN,,,,,,,,,Financial Services,
MAIN,,,,,,,,,Financial Services,
CLF,,,,,,,,,Basic Materials,
FNB,,,,,,,,,Financial Services,
QTWO,,,,,,,,,Technology,
ACT,,,,,,,,,Financial Services,
CRK,,,,,,,,,Energy,
INTA,,,,,,,,,Technology,
MTH,,,,,,,,,Consumer Cyclical,
UBSI,,,,,,,,,Financial Services,
LOPE,,,,,,,,,Consumer Defensive,
IRT,,,,,,,,,Real Estate,
CSWI,,,,,,,,,Industrials,
KRG,,,,,,,,,Real Estate,
CUZ,,,,,,,,,Real Estate,
VERX,,,,,,,,,Technology,
LEA,,,,,,,,,Consumer Cyclical,
SFBS,,,,,,,,,Financial Services,
MC,,,,,,,,,Financial Services,
COTY,,,,,,,,,Consumer Defensive,
HWC,,,,,,,,,Financial Services,
MSGS,,,,,,,,,Communication Services,
SLG,,,,,,,,,Real Estate,
LITE,,,,,,,,,Technology,
MAC,,,,,,,,,Real Estate,
CTRE,,,,,,,,,Real Estate,
NJR,,,,,,,,,Utilities,
AROC,,,,,,,,,Energy,
TXNM,,,,,,,,,Utilities,
TGTX,,,,,,,,,Healthcare,
PIPR,,,,,,,,,Financial Services,
SNDR,,,,,,,,,Industrials,
GSHD,,,,,,,,,Financial Services,
AHR,,,,,,,,,Real Estate,
OGS,,,,,,,,,Utilities,
SR,,,,,,,,,Utilities,
ABCB,,,,,,,,,Financial Services,
CNS,,,,,,,,,Financial Services,
SANM,,,,,,,,,Technology,
CALM,,,,,,,,,Consumer Defensive,
BDC,,,,,,,,,Technology,
7LX.F,,,,,,,,,Financial Services,
BKH,,,,,,,,,Utilities,
KMPR,,,,,,,,,Financial Services,
GHC,,,,,,,,,Consumer Defensive,
ESE,,,,,,,,,Technology,
CNO,,,,,,,,,Financial Services,
CVCO,,,,,,,,,Consumer Cyclical,
IBOC,,,,,,,,,Financial Services,
TDS,,,,,,,,,Communication Services,
ASB,,,,,,,,,Financial Services,
VCTR,,,,,,,,,Financial Services,
ROAD,,,,,,,,,Industrials,
MWA,,,,,,,,,Industrials,
DORM,,,,,,,,,Consumer Cyclical,
SKT,,,,,,,,,Real Estate,
SKYW,,,,,,,,,Industrials,
BANF,,,,,,,,,Financial Services,
SBRA,,,,,,,,,Real Estate,
GBTG,,,,,,,,,Consumer Cyclical,
ADMA,,,,,,,,,Healthcare,
SNEX,,,,,,,,,Financial Services,
PRIM,,,,,,,,,Industrials,
UCB,,,,,,,,,Financial Services,
GEO,,,,,,,,,Industrials,
AX,,,,,,,,,Financial Services,
ATGE,,,,,,,,,Consumer Defensive,
KGS,,,,,,,,,Energy,
SM,,,,,,,,,Energy,
SITM,,,,,,,,,Technology,
TCBI,,,,,,,,,Financial Services,
FULT,,,,,,,,,Financial Services,
KTB,,,,,,,,,Consumer Cyclical,
PLXS,,,,,,,,,Technology,
GVA,,,,,,,,,Industrials,
ICUI,,,,,,,,,Healthcare,
EBC,,,,,,,,,Financial Services,
MDU,,,,,,,,,Industrials,
KNTK,,,,,,,,,Energy,
DEI,,,,,,,,,Real Estate,
FHB,,,,,,,,,Financial Services,
FTDR,,,,,,,,,Consumer Cyclical,
CARG,,,,,,,,,Consumer Cyclical,
ARLP,,,,,,,,,Energy,
BTSG,,,,,,,,,Healthcare,
CBU,,,,,,,,,Financial Services,
CATY,,,,,,,,,Financial Services,
BNL,,,,,,,,,Real Estate,
XRAY,,,,,,,,,Healthcare,
EE,,,,,,,,,Energy,
GRND,,,,,,,,,Technology,
PTEN,,,,,,,,,Energy,
FIBK,,,,,,,,,Financial Services,
AUB,,,,,,,,,Financial Services,
HIW,,,,,,,,,Real Estate,
WSFS,,,,,,,,,Financial Services,
CNK,,,,,,,,,Communication Services,
APLS,,,,,,,,,Healthcare,
CDP,,,,,,,,,Real Estate,
PAYO,,,,,,,,,Technology,
LAUR,,,,,,,,,Consumer Defensive,
AKR,,,,,,,,,Real Estate,
INDB,,,,,,,,,Financial Services,
CPK,,,,,,,,,Utilities,
WGS,,,,,,,,,Healthcare,
SLVM,,,,,,,,,Basic Materials,
FCPT,,,,,,,,,Real Estate,
BOH,,,,,,,,,Financial Services,
ASH,,,,,,,,,Basic Materials,
CVBF,,,,,,,,,Financial Services,
BKU,,,,,,,,,Financial Services,
BWIN,,,,,,,,,Financial Services,
AVPT,,,,,,,,,Technology,
UE,,,,,,,,,Real Estate,
CAKE,,,,,,,,,Consumer Cyclical,
CPRX,,,,,,,,,Healthcare,
TOWN,,,,,,,,,Financial Services,
HTLF,,,,,,,,,,
SFNC,,,,,,,,,Financial Services,
CWK,,,,,,,,,Real Estate,
VCYT,,,,,,,,,Healthcare,
PRK,,,,,,,,,Financial Services,
ENVA,,,,,,,,,Financial Services,
BFH,,,,,,,,,Financial Services,
GCMG,,,,,,,,,Financial Services,
RSI,,,,,,,,,Consumer Cyclical,
FFBC,,,,,,,,,Financial Services,
PAR,,,,,,,,,Technology,
FRME,,,,,,,,,Financial Services,
IBTX,,,,,,,,,,
PBF,,,,,,,,,Energy,
SBCF,,,,,,,,,Financial Services,
WAFD,,,,,,,,,Financial Services,
PFS,,,,,,,,,Financial Services,
BANR,,,,,,,,,Financial Services,
FBK,,,,,,,,,Financial Services,
WSBC,,,,,,,,,Financial Services,
DV,,,,,,,,,Technology,
LGND,,,,,,,,,Healthcare,
PTGX,,,,,,,,,Healthcare,
IVT,,,,,,,,,Real Estate,
RNST,,,,,,,,,Financial Services,
ROIC,,,,,,,,,Real Estate,
NBTB,,,,,,,,,Financial Services,
TRMK,,,,,,,,,Financial Services,
EQC,,,,,,,,,Real Estate,
HNI,,,,,,,,,Consumer Cyclical,
EFSC,,,,,,,,,Financial Services,
KYN,,,,,,,,,Financial Services,
SYBT,,,,,,,,,Financial Services,
HI,,,,,,,,,Industrials,
SMR,,,,,,,,,Industrials,
LMAT,,,,,,,,,Healthcare,
AGIO,,,,,,,,,Healthcare,
PWP,,,,,,,,,Financial Services,
CLOV,,,,,,,,,Healthcare,
OFG,,,,,,,,,Financial Services,
UNFI,,,,,,,,,Consumer Defensive,
TVTX,,,,,,,,,Healthcare,
RVLV,,,,,,,,,Consumer Cyclical,
CASH,,,,,,,,,Financial Services,
ARIS,,,,,,,,,Utilities,
NIC,,,,,,,,,Financial Services,
IDYA,,,,,,,,,Healthcare,
AGX,,,,,,,,,Industrials,
CHCO,,,,,,,,,Financial Services,
AAT,,,,,,,,,Real Estate,
FBNC,,,,,,,,,Financial Services,
GTY,,,,,,,,,Real Estate,
BKV,,,,,,,,,Energy,
FCF,,,,,,,,,Financial Services,
GTII.CN,,,,,,,,,Healthcare,
INSW,,,,,,,,,Energy,
NWBI,,,,,,,,,Financial Services,
SRCE,,,,,,,,,Financial Services,
NBHC,,,,,,,,,Financial Services,
PRM,,,,,,,,,Basic Materials,
STEL,,,,,,,,,Financial Services,
STBA,,,,,,,,,Financial Services,
ATEN,,,,,,,,,Technology,
UTI,,,,,,,,,Consumer Defensive,
GABC,,,,,,,,,Financial Services,
ATSG,,,,,,,,,Industrials,
WTTR,,,,,,,,,Energy,
SASR,,,,,,,,,Financial Services,
TCBK,,,,,,,,,Financial Services,
VBTX,,,,,,,,,Financial Services,
PX,,,,,,,,,Financial Services,
WABC,,,,,,,,,Financial Services,
PL,,,,,,,,,Industrials,
CET,,,,,,,,,Financial Services,
DCOM,,,,,,,,,Financial Services,
KOS,,,,,,,,,Energy,
WLFC,,,,,,,,,Industrials,
BHLB,,,,,,,,,Financial Services,
RBCAA,,,,,,,,,Financial Services,
HOPE,,,,,,,,,Financial Services,
ALEX,,,,,,,,,Real Estate,
CMPO,,,,,,,,,Industrials,
DAVE,,,,,,,,,Technology,
EIG,,,,,,,,,Financial Services,
QCRH,,,,,,,,,Financial Services,
BY,,,,,,,,,Financial Services,
DSP,,,,,,,,,Technology,
TPB,,,,,,,,,Consumer Defensive,
WWW,,,,,,,,,Consumer Cyclical,
SVV,,,,,,,,,Consumer Cyclical,
PFBC,,,,,,,,,Financial Services,
PEBO,,,,,,,,,Financial Services,
INVA,,,,,,,,,Healthcare,
FBMS,,,,,,,,,Financial Services,
OPFI,,,,,,,,,Financial Services,
OCFC,,,,,,,,,Financial Services,
BRKL,,,,,,,,,Financial Services,
BFC,,,,,,,,,Financial Services,
BBSI,,,,,,,,,Industrials,
NTLA,,,,,,,,,Healthcare,
PFC,,,,,,,,,Financial Services,
HROW,,,,,,,,,Healthcare,
AMAL,,,,,,,,,Financial Services,
TMP,,,,,,,,,Financial Services,
CTBI,,,,,,,,,Financial Services,
LMB,,,,,,,,,Industrials,
FMBH,,,,,,,,,Financial Services,
UVSP,,,,,,,,,Financial Services,
HFWA,,,,,,,,,Financial Services,
CURLF,,,,,,,,,Healthcare,
CBL,,,,,,,,,Real Estate,
PRTH,,,,,,,,,Technology,
NBN,,,,,,,,,Financial Services,
BFLY,,,,,,,,,Healthcare,
TNL,,,,,,,,,Consumer Cyclical,
LTH,,,,,,,,,Consumer Cyclical,
PBI,,,,,,,,,Industrials,
RL,,,,,,,,,Consumer Cyclical,
COMP,,,,,,,,,Real Estate,
BKE,,,,,,,,,Consumer Cyclical,
BCSF,,,,,,,,,Financial Services,
HBI,,,,,,,,,Consumer Cyclical,
DXPE,,,,,,,,,Industrials,
FHI,,,,,,,,,Financial Services,
LC,,,,,,,,,Financial Services,
NFE,,,,,,,,,Utilities,
EFC,,,,,,,,,Real Estate,
RDW,,,,,,,,,Industrials,
OWL,,,,,,,,,Financial Services,
MIR,,,,,,,,,Industrials,
TGNA,,,,,,,,,Communication Services,
IONQ,,,,,,,,,Technology,
MYGN,,,,,,,,,Healthcare,
CORZ,,,,,,,,,Technology,
PAY,,,,,,,,,Technology,
LQDT,,,,,,,,,Consumer Cyclical,
IESC,,,,,,,,,Industrials,
ATMU,,,,,,,,,Industrials,
USLM,,,,,,,,,Basic Materials,
WRBY,,,,,,,,,Healthcare,
AMRX,,,,,,,,,Healthcare,
HWKN,,,,,,,,,Basic Materials,
OUT,,,,,,,,,Real Estate,
AYI,,,,,,,,,Industrials,
IDT,,,,,,,,,Communication Services,
KNF,,,,,,,,,Basic Materials,
APA,,,,,,,,,Energy,
MUR,,,,,,,,,Energy,
CIVI,,,,,,,,,Energy,
BROS,,,,,,,,,Consumer Cyclical,
ALHC,,,,,,,,,Healthcare,
GDYN,,,,,,,,,Technology,
PGNY,,,,,,,,,Healthcare,
TILE,,,,,,,,,Consumer Cyclical,
VRT,,,,,,,,,Industrials,
STRL,,,,,,,,,Industrials,
RYAN,,,,,,,,,Financial Services,
NSA,,,,,,,,,Real Estate,
NCLH,,,,,,,,,Consumer Cyclical,
GBX,,,,,,,,,Industrials,
EPAC,,,,,,,,,Industrials,
NXRT,,,,,,,,,Real Estate,
MGEE,,,,,,,,,Utilities,
EXE,,,,,,,,,Energy,
AUR,,,,,,,,,Technology,
WOLF,,,,,,,,,Technology,
PDM,,,,,,,,,Real Estate,
LYB,,,,,,,,,Basic Materials,
WLK,,,,,,,,,Basic Materials,
CVI,,,,,,,,,Energy,
KSS,,,,,,,,,Consumer Cyclical,
RCKT,,,,,,,,,Healthcare,
ATKR,,,,,,,,,Industrials,
PTON,,,,,,,,,Consumer Cyclical,
DX,,,,,,,,,Real Estate,
CHH,,,,,,,,,Consumer Cyclical,
AM,,,,,,,,,Energy,
MHO,,,,,,,,,Consumer Cyclical,
FOUR,,,,,,,,,Technology,
NMRK,,,,,,,,,Real Estate,
FAF,,,,,,,,,Financial Services,
U,,,,,,,,,Technology,
SRRK,,,,,,,,,Healthcare,
PZZA,,,,,,,,,Consumer Cyclical,
CBRL,,,,,,,,,Consumer Cyclical,
TRUP,,,,,,,,,Financial Services,
NHI,,,,,,,,,Real Estate,
NMIH,,,,,,,,,Financial Services,
PAGP,,,,,,,,,Energy,
BBNX,,,,,,,,,Healthcare,
EDR,,,,,,,,,Communication Services,
AGNC,,,,,,,,,Real Estate,
TRN,,,,,,,,,Industrials,
BRC,,,,,,,,,Industrials,
SPXC,,,,,,,,,Industrials,
BV,,,,,,,,,Industrials,
TMHC,,,,,,,,,Consumer Cyclical,
GKOS,,,,,,,,,Healthcare,
AORT,,,,,,,,,Healthcare,
AXGN,,,,,,,,,Healthcare,
UMH,,,,,,,,,Real Estate,
CNOB,,,,,,,,,Financial Services,
SUM,,,,,,,,,Basic Materials,
PAHC,,,,,,,,,Healthcare,
GATO,,,,,,,,,,
ACA,,,,,,,,,Industrials,
SEZL,,,,,,,,,Financial Services,
LUNR,,,,,,,,,Industrials,
HCKT,,,,,,,,,Technology,
LUMN,,,,,,,,,Communication Services,
HSTM,,,,,,,,,,
ZETA,,,,,,,,,,
PII,,,,,,,,,,
WFRD,,,,,,,,,,
MODG,,,,,,,,,,
TPC,,,,,,,,,,
NWE,,,,,,,,,,
OXLC,,,,,,,,,,
INOD,,,,,,,,,,
SBSI,,,,,,,,,,
KBH,,,,,,,,,,
TPH,,,,,,,,,,
PPBI,,,,,,,,,,
TIPT,,,,,,,,,,
MNKD,,,,,,,,,,
NWN,,,,,,,,,,
JBI,,,,,,,,,,
MCRI,,,,,,,,,,
TTMI,,,,,,,,,,
RWT,,,,,,,,,,
GIC,,,,,,,,,,
VTLE,,,,,,,,,,
TXG,,,,,,,,,,
DK,,,,,,,,,,
COUR,,,,,,,,,,
IBTA,,,,,,,,,,
LPG,,,,,,,,,,
EYE,,,,,,,,,,
